"found congestion?" "congestion started" "congested detected" "difference in nanoseconds" "difference in seconds"
yes 1.6072778682121344e+18 1607277872927283000 4715148600 4.7151486
no ....
yes 1.6072779302265738e+18 1607277933002420000 2775846176 2.775846176
no ....
no ....
yes 1.6072780203467446e+18 1607278024521299000 4174554424 4.174554424
no ....
yes 1.60727807916912e+18 1607278083399649000 4230529000 4.230529
no ....
no ....
yes 1.6072781710542031e+18 1607278173587795000 2533591864 2.533591864
yes 1.6072782002926746e+18 1607278202041980000 1749305440 1.74930544
no ....
no ....
no ....
no ....
yes 1.6072783677616735e+18 1607278371175558000 3413884528 3.413884528
yes 1.6072783990530747e+18 1607278403115075000 4062000312 4.062000312
yes 1.607278431677294e+18 1607278434363358000 2686063920 2.68606392
yes 1.6072784635683487e+18 1607278465943240000 2374891328 2.374891328
no ....
no ....
yes 1.6072785551684554e+18 1607278557417746000 2249290576 2.249290576
no ....
yes 1.6072786164749317e+18 1607278618965984000 2491052288 2.491052288
no ....
yes 1.6072786801053814e+18 1607278682537426000 2432044624 2.432044624
no ....
yes 1.6072787420564012e+18 1607278745174468000 3118066848 3.118066848
yes 1.6072787730798804e+18 1607278775726616000 2646735552 2.646735552
yes 1.607278802883232e+18 1607278804677621000 1794389000 1.794389
no ....
no ....
no ....
yes 1.6072789289029594e+18 1607278931714561000 2811601640 2.81160164
no ....
yes 1.6072789890165425e+18 1607278993072322000 4055779536 4.055779536
yes 1.6072790200981453e+18 1607279022171426000 2073280720 2.07328072
yes 1.6072790494578143e+18 1607279053678350000 4220535728 4.220535728
yes 1.607279081244405e+18 1607279083308393000 2063988008 2.063988008
yes 1.6072791110566436e+18 1607279114443196000 3386552416 3.386552416
yes 1.607279141280052e+18 1607279142994128000 1714076032 1.714076032
yes 1.607279170937505e+18 1607279175410289000 4472783976 4.472783976
no ....
yes 1.6072792313505923e+18 1607279235032064000 3681471744 3.681471744
yes 1.607279260922523e+18 1607279264828584000 3906061120 3.90606112
yes 1.6072792905757059e+18 1607279294796795000 4221089144 4.221089144
yes 1.607279320774732e+18 1607279323920625000 3145892968 3.145892968
yes 1.6072793504960438e+18 1607279353458072000 2962028224 2.962028224
yes 1.6072793803184522e+18 1607279383653444000 3334991776 3.334991776
