"found congestion?" "congestion started" "congested detected" "difference in nanoseconds" "difference in seconds"
yes 1.6072866118861737e+18 1607286611924765000 38591304 0.038591304
no ....
yes 1.6072866729978803e+18 1607286674728379000 1730498680 1.73049868
yes 1.6072867013737892e+18 1607286702878555000 1504765816 1.504765816
yes 1.6072867311991386e+18 1607286732258423000 1059284440 1.05928444
yes 1.6072867619833313e+18 1607286763192277000 1208945672 1.208945672
yes 1.6072867888514488e+18 1607286789957233000 1105784168 1.105784168
yes 1.6072868148959767e+18 1607286816137171000 1241194296 1.241194296
yes 1.6072868411599506e+18 1607286842327413000 1167462408 1.167462408
yes 1.6072868675198433e+18 1607286868646541000 1126697672 1.126697672
yes 1.6072868940040786e+18 1607286895236023000 1231944408 1.231944408
yes 1.607286922245703e+18 1607286923544872000 1299169088 1.299169088
yes 1.607286948545193e+18 1607286949724161000 1178968040 1.17896804
yes 1.6072869745150881e+18 1607286975662950000 1147861872 1.147861872
yes 1.6072870015774756e+18 1607287002672814000 1095338416 1.095338416
yes 1.607287027538345e+18 1607287028755604000 1217259040 1.21725904
yes 1.60728705454486e+18 1607287055606166000 1061306096 1.061306096
yes 1.607287081647923e+18 1607287082822955000 1175032056 1.175032056
yes 1.6072871082140078e+18 1607287109264357000 1050349192 1.050349192
yes 1.6072871357760284e+18 1607287137444347000 1668318584 1.668318584
yes 1.6072871629723625e+18 1607287164121053000 1148690504 1.148690504
yes 1.607287189709604e+18 1607287190896958000 1187353904 1.187353904
yes 1.6072872190733391e+18 1607287220175530000 1102190864 1.102190864
yes 1.607287245145889e+18 1607287246194155000 1048265976 1.048265976
yes 1.6072872711414116e+18 1607287272552658000 1411246416 1.411246416
yes 1.6072872972349156e+18 1607287298217914000 982998416 0.982998416
yes 1.6072873237059643e+18 1607287324935375000 1229410712 1.229410712
yes 1.6072873502029824e+18 1607287351521570000 1318587600 1.3185876
yes 1.6072873763885343e+18 1607287377599268000 1210733728 1.210733728
yes 1.607287402754841e+18 1607287403959037000 1204195912 1.204195912
yes 1.6072874288701402e+18 1607287430095204000 1225063840 1.22506384
yes 1.6072874541386132e+18 1607287455464692000 1326078752 1.326078752
yes 1.6072874803273034e+18 1607287481585004000 1257700576 1.257700576
yes 1.6072875070816095e+18 1607287508174264000 1092654528 1.092654528
yes 1.607287533322526e+18 1607287534812335000 1489809048 1.489809048
yes 1.6072875597814426e+18 1607287561033903000 1252460440 1.25246044
yes 1.6072875858096364e+18 1607287586871955000 1062318648 1.062318648
yes 1.607287611514584e+18 1607287612947958000 1433373936 1.433373936
yes 1.6072876386215872e+18 1607287640027401000 1405813800 1.4058138
yes 1.6072876649092303e+18 1607287666050690000 1141459664 1.141459664
yes 1.607287691324753e+18 1607287692439765000 1115012104 1.115012104
yes 1.607287718318785e+18 1607287719392097000 1073311976 1.073311976
yes 1.6072877442544397e+18 1607287745470896000 1216456320 1.21645632
yes 1.6072877719804347e+18 1607287773025086000 1044651312 1.044651312
yes 1.607287797781404e+18 1607287798840284000 1058880096 1.058880096
yes 1.6072878277267213e+18 1607287828871672000 1144950720 1.14495072
yes 1.607287853815766e+18 1607287855219420000 1403653984 1.403653984
yes 1.607287880914932e+18 1607287881925588000 1010656032 1.010656032
yes 1.607287906739295e+18 1607287908082124000 1342829024 1.342829024
yes 1.607287933075261e+18 1607287934051210000 975949072 0.975949072
