"found congestion?" "congestion started" "congested detected" "difference in nanoseconds" "difference in seconds"
yes 1.6072813394436552e+18 1607281343139956000 3696300832 3.696300832
yes 1.607281368395289e+18 1607281373853919000 5458629912 5.458629912
yes 1.607281398605089e+18 1607281402492506000 3887416976 3.887416976
no ....
no ....
yes 1.6072814869254615e+18 1607281491208997000 4283535496 4.283535496
yes 1.6072815169555963e+18 1607281520358928000 3403331712 3.403331712
yes 1.6072815455707177e+18 1607281549212955000 3642237304 3.642237304
yes 1.6072815738793262e+18 1607281575981228000 2101901792 2.101901792
no ....
yes 1.6072816301432945e+18 1607281631474480000 1331185536 1.331185536
yes 1.6072816585444562e+18 1607281662122355000 3577898808 3.577898808
yes 1.6072816878574723e+18 1607281691218150000 3360677744 3.360677744
no ....
yes 1.607281744681082e+18 1607281748078079000 3396996888 3.396996888
no ....
no ....
no ....
no ....
yes 1.6072818940299702e+18 1607281898231157000 4201186824 4.201186824
yes 1.6072819232501156e+18 1607281926784280000 3534164416 3.534164416
no ....
no ....
yes 1.6072820116805112e+18 1607282015222454000 3541942768 3.541942768
no ....
no ....
no ....
no ....
yes 1.6072821677562117e+18 1607282171417294000 3661082288 3.661082288
yes 1.6072821980046175e+18 1607282200090982000 2086364528 2.086364528
yes 1.6072822285006254e+18 1607282232588820000 4088194592 4.088194592
yes 1.6072822580579172e+18 1607282260934339000 2876421816 2.876421816
yes 1.6072822876409943e+18 1607282290577778000 2936783696 2.936783696
yes 1.6072823176001009e+18 1607282320356225000 2756124136 2.756124136
yes 1.607282347571228e+18 1607282351652001000 4080773096 4.080773096
no ....
yes 1.6072824065774093e+18 1607282410387622000 3810212720 3.81021272
yes 1.6072824367283855e+18 1607282440670782000 3942396464 3.942396464
no ....
yes 1.6072824968180892e+18 1607282500596316000 3778226784 3.778226784
yes 1.607282527059379e+18 1607282529650635000 2591256056 2.591256056
no ....
yes 1.6072825839025649e+18 1607282587696874000 3794309136 3.794309136
yes 1.6072826127758075e+18 1607282616758654000 3982846512 3.982846512
yes 1.607282642212205e+18 1607282644935820000 2723614944 2.723614944
yes 1.607282673348334e+18 1607282678476312000 5127977920 5.12797792
yes 1.607282704761117e+18 1607282706346333000 1585216072 1.585216072
no ....
yes 1.6072827627102994e+18 1607282764475576000 1765276608 1.765276608
yes 1.607282792304823e+18 1607282796032567000 3727743960 3.72774396
